MAJ,ident,nbplaces,nbvelos,nbelec,nbclassiq,velo_dispo,hour,minute,day
2021-05-17 07:32:11.684649,92.61748633879782,11.448087431693988,10.032786885245901,5.240437158469946,4.7923497267759565,47.72677595628415,7.0,32.0,17.0
2021-05-15 15:12:11.738763,92.61748633879782,11.3224043715847,10.158469945355192,5.300546448087432,4.85792349726776,47.72677595628415,15.0,12.0,15.0
2021-05-18 07:07:04.136124,92.61748633879782,11.371584699453551,10.07103825136612,5.240437158469946,4.830601092896175,47.721311475409834,7.0,7.0,18.0
2021-05-18 20:59:02.680588,92.61748633879782,11.453551912568306,10.07103825136612,5.229508196721311,4.841530054644808,47.71584699453552,20.0,59.0,18.0
2021-05-18 20:54:02.980419,92.61748633879782,11.459016393442623,10.065573770491802,5.224043715846994,4.841530054644808,47.71584699453552,20.0,54.0,18.0
2021-05-15 11:47:10.865497,92.61748633879782,11.387978142076502,10.087431693989071,5.333333333333333,4.754098360655738,47.704918032786885,11.0,47.0,15.0
2021-05-17 07:02:11.640994,92.61748633879782,11.475409836065573,10.005464480874316,5.213114754098361,4.7923497267759565,47.69945355191257,7.0,2.0,17.0
2021-05-15 10:57:11.696763,92.61748633879782,11.344262295081966,10.136612021857923,5.344262295081967,4.7923497267759565,47.69945355191257,10.0,57.0,15.0
2021-05-14 08:36:29.207425,92.61748633879782,11.382513661202186,10.109289617486338,5.311475409836065,4.797814207650274,47.69945355191257,8.0,36.0,14.0
2021-05-18 21:14:02.381174,92.61748633879782,11.459016393442623,10.065573770491802,5.2349726775956285,4.830601092896175,47.69945355191257,21.0,14.0,18.0
2021-05-17 07:27:11.782154,92.61748633879782,11.442622950819672,10.03825136612022,5.240437158469946,4.797814207650274,47.68852459016394,7.0,27.0,17.0
2021-05-15 19:27:11.346065,92.61748633879782,11.40983606557377,10.07103825136612,5.273224043715847,4.797814207650274,47.677595628415304,19.0,27.0,15.0
2021-05-13 19:21:11.425117,92.61748633879782,11.459016393442623,10.049180327868852,5.2349726775956285,4.814207650273224,47.677595628415304,19.0,21.0,13.0
2021-05-17 06:42:12.375899,92.61748633879782,11.530054644808743,9.950819672131148,5.174863387978142,4.775956284153006,47.67213114754098,6.0,42.0,17.0
